Date : 2026-03-12 12:04:43
Directory : c:\Users\jyoti\emergecy
Total : 201 files,  113632 codes, 1076 comments, 3148 blanks, all 117856 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\layouts\AuthLayout.jsx                                               | JavaScript JSX   |         27 |          4 |          5 |         36 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\layouts\DashboardLayout.jsx                                          | JavaScript JSX   |        210 |         11 |         25 |        246 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\lib\apiClient.js                                                     | JavaScript       |         10 |          0 |          4 |         14 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\main.jsx                                                             | JavaScript JSX   |         14 |          3 |          4 |         21 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\Notifications\IncidentNotifications.jsx                      | JavaScript JSX   |        109 |         14 |         17 |        140 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\Notifications\NotificationsBell.jsx                          | JavaScript JSX   |         27 |          3 |          4 |         34 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\Notifications\NotificationsCenter.jsx                        | JavaScript JSX   |        176 |         17 |         21 |        214 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\Notifications\NotificationsContext.jsx                       | JavaScript JSX   |        133 |         29 |         21 |        183 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\analytics\api\analyticsApi.js                                | JavaScript       |         15 |          1 |          4 |         20 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\analytics\pages\AnalyticsDashboardPage.jsx                   | JavaScript JSX   |        344 |         20 |         31 |        395 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\api\authApi.js                                          | JavaScript       |         26 |          3 |          6 |         35 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\components\AuthCard.jsx                                 | JavaScript JSX   |          7 |          1 |          0 |          8 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\components\LoginForm.jsx                                | JavaScript JSX   |        104 |          0 |          8 |        112 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\components\Logo.jsx                                     | JavaScript JSX   |         24 |          0 |          2 |         26 |
| c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\components\RegisterForm.jsx                             | JavaScript JSX   |        167 |          4 |         15 |        186 |
